"BuildingAge","BuildingHeight","Insulation","AverageTemperature","SunlightExposure","WindSpeed","OccupancyRate","HeatingLoad"
22.73,14.43,1,23.54,298.57,10.47,0.28,229.78
14.6,11.82,0,14.09,214.13,4.7,0.7,221.6
12.93,18.66,0,15.33,145,2.34,0.76,234.36
32.69,7.27,0,24.14,146.56,2.73,0.65,222.95
12.45,9.11,0,14.78,161.18,2.94,0.5,211.64
21.6,21.41,0,20.47,192.13,0.59,0.54,243.42
25.3,11.36,0,23.47,149.5,0.59,0.53,216.28
14.73,12.55,0,23.33,254.25,4.11,0.62,211.8
13.04,13.76,1,19.36,133.66,1.56,0.4,210.7
54.34,12.37,0,15.77,82.46,4.91,0.68,274.88
11.21,43.91,0,8.36,354.98,2.36,0.52,339.17
19.7,25.96,1,21.06,190.38,4.59,0.46,256.94
30.64,8.99,1,24.44,83.28,8.3,0.8,223.62
9.75,6.1,1,12.99,123.58,3.91,0.45,204.44
39.72,95.25,1,17.43,663.77,1.3,0.37,709.63
19.54,46.96,1,15.62,392.1,4.59,0.24,351
14.22,6.43,1,14.97,63.14,1.2,0.58,205.3
30.86,33.97,0,18.73,521.71,10.23,0.29,312.79
26.23,13.44,1,16.13,92.94,4.22,0.57,238.57
21.55,12.54,1,18.8,120.52,3.7,0.72,223.76
25.02,8.75,0,19,264.87,5.56,0.56,224.5
15.14,19.54,0,20.2,678.96,3.41,0.46,220.27
6.7,9.75,1,17.37,39.1,5.07,0.73,207.27
22.31,8.48,1,18.95,40.61,4.43,0.6,219.41
18.47,21.84,1,20.21,321.08,1.63,0.45,236.63
33.06,25.42,1,12.88,248.39,9.66,0.34,292.2
33.68,52.27,1,18.71,637.73,6.14,0.42,384.83
114.92,52.52,1,24.89,668.9,2.05,0.3,474.28
26.63,35.9,0,18.2,819.02,1.47,0.55,289.3
30.17,13.78,0,21.41,783.17,3.09,0.75,219.72
14.28,28.66,1,13.35,53.71,3.13,0.42,275.4
23.7,34.17,0,25.09,546.01,0.73,0.4,277.13
10.9,15.3,1,15.51,166,7.49,0.22,226.89
8.25,10.61,1,20.65,137.8,8.88,0.55,208.31
14.89,9.41,1,16.73,103.42,12.2,0.18,221.44
15.47,11.32,0,18.11,133.28,3,0.19,217.4
16.65,14.35,1,17.69,366.93,8.94,0.55,227.54
16.48,11.17,1,20.27,77.72,3.41,0.56,214.32
26.61,11.36,0,16.77,12.98,3.05,0.45,236.11
14.46,12.2,1,12.56,47.25,4.94,0.51,226.79
17.39,75.18,0,21.4,373.21,4.51,0.66,532.27
45.75,61.11,1,21.72,372.85,3.35,0.19,460.21
10.35,81.93,1,17.68,342.35,6.19,0.11,581.33
15.15,13.63,1,18.7,167.18,2.86,0.3,218.19
17.4,16.27,0,19.75,64.05,12.59,0.46,248.9
36.8,22.47,0,11.04,475.89,9.16,0.45,290.09
28.07,20.03,1,9.67,134.29,1.12,0.18,262.08
26.46,29.2,1,17.75,34.49,0.44,0.35,282
18.99,19.42,0,10.91,150.79,4.63,0.58,259.5
15.81,16.47,0,23.68,29.73,5.34,0.73,228.84
21.66,7.42,1,17.16,29.2,5.63,0.14,217.39
38.07,25.37,1,19.4,475.82,9.91,0.44,280.26
13.7,16.55,0,14.44,146.23,2.6,0.22,232.79
38.86,22.92,1,14.41,670.66,7.06,0.84,273.5
12,9.61,1,8.6,214.49,8.31,0.09,226.97
27,4.64,0,22.99,223.1,3.37,0.69,210.98
18.09,25.29,0,16.85,595.35,7.58,0.51,260.27
30.4,25.29,1,21.02,304.12,6.29,0.29,266.51
22.26,8.33,1,14.69,151.77,2.4,0.71,217.31
10.48,35.34,0,22.99,366.94,11.16,0.73,293.18
30.2,28.22,0,20.04,648.34,7.92,0.77,278.26
26.41,36.66,1,11.4,697.55,4.96,0.61,309.58
22.67,29.07,1,14.54,19.07,9.1,0.55,297.91
15.31,24.56,0,21.14,246.49,3.91,0.46,244.34
20.66,15.25,1,18.45,134.06,6.36,0.29,236.16
42.81,32.27,1,21.88,378.48,3.17,0.11,302.11
27.6,31.38,1,15.43,584.89,3.62,0.59,287.28
26.05,13.83,0,18.34,91.34,2.69,0.82,237.24
19.47,24.41,0,16.96,654.02,5.3,0.6,253.32
9.35,15.98,1,23.37,41.19,2.3,0.64,211.59
21.16,9.22,1,15.28,43.14,4.26,0.47,221.98
16.8,6.97,1,21.28,161.99,4.8,0.82,203.22
17.36,10.45,0,21.68,161.28,4.12,0.18,211.57
24.97,14.84,1,18.99,235.38,4.19,0.64,231.9
9.12,13.58,0,17.87,206.07,10.12,0.29,226.76
14.56,33.98,0,22.63,97.83,6.44,0.69,291.69
22.03,4.02,1,27.07,355.1,8.79,0.38,194.53
28.81,35.71,1,13.31,261.31,6.08,0.52,319.84
35.49,21.46,1,20.56,220.69,4.17,0.12,264.25
13.66,11.83,1,18.45,173.18,6.78,0.37,220.92
38.98,37.15,0,21.23,503.85,0.39,0.21,313.93
7.41,49.93,1,17.94,600.2,8.45,0.24,348.75
14.02,21.09,0,25.18,515.11,1.68,0.8,218.14
13.45,5.82,1,26.27,159.19,3.6,0.06,187.73
8.74,23.49,1,24.35,139.49,3.95,0.19,228.97
16.88,4.87,1,19.28,44.78,2.01,0.82,200.47
29.29,4.69,1,21.37,76.69,6.66,0.63,216.98
35.15,24.88,1,21.1,156.44,8.19,0.85,281.1
25.25,5.82,1,19.8,95.01,6.09,0.76,217.61
22.59,10.81,1,15.44,65.52,11.3,0.37,240.52
21.29,21.38,1,23.7,565.79,8.09,0.54,238.27
23.47,9.58,0,23.87,144.34,0.42,0.48,209.18
29.83,26.08,0,20.23,640.91,1.96,0.81,260.64
21.88,27.82,1,18.67,596.71,3.76,0.46,258.2
29.94,11.02,1,17.62,146.41,3.34,0.39,230.65
41.86,26.51,1,19.67,94.03,3.48,0.63,291.3
25.67,39.28,0,20.34,812.83,3.09,0.93,301.59
24.6,17.44,1,15.77,128.13,3.18,0.67,244.54
36.66,12.31,1,15.18,168.56,3.91,0.62,248.02
30.45,14.41,1,19.39,78.71,4.25,0.28,236.65
10.69,13.27,0,24.41,71.86,5.99,0.84,210.56
11.16,14.83,0,23.83,169.11,1.96,0.31,206.55
27.87,7.46,1,16.29,83.82,2.9,0.48,221.12
11.74,10.03,1,11.97,185.07,0.96,0.28,210.48
21.43,9.71,1,19.06,87.01,2.65,0.52,214.64
12.4,13.86,0,18.81,10.31,13.44,0.46,240.46
31.86,21.49,0,18.31,367.85,5.65,0.68,263.81
19.61,5.38,1,12.74,35.43,3.23,0.53,218.64
11.43,17.22,0,14,27.85,1.26,0.74,232.07
21.46,9.46,1,23.96,86.64,2.93,0.29,207.88
19.36,7.62,1,15.23,253.03,3.89,0.86,213.14
32.18,24.46,1,21.52,532.48,0.96,0.46,252.82
22.17,8.92,1,19.06,29.02,1.63,0.65,212.49
34.47,12.05,1,20.63,228.59,4.5,0.84,235.47
14.57,5.51,1,14.85,47.42,12.73,0.41,221.96
23.04,6.72,1,11.68,86.22,4.35,0.62,226.22
13.11,39.04,0,18.52,826.83,3.66,0.37,291.3
6.29,12.57,1,13.75,196.57,5.14,0.56,214.17
20.13,10.93,0,9.88,473.93,3.08,0.85,230.3
11.41,19.53,1,16.6,512.71,1.25,0.34,221.71
29.67,16.53,0,21.47,110.96,1.45,0.58,239.78
14.62,6.16,0,24.01,107.51,5.73,0.55,205.14
15.47,27.12,0,24.25,165.18,6.7,0.43,258.52
14.64,8.81,0,21.58,23.39,4.41,0.28,213.02
18.57,12.48,1,20.73,137.78,1.45,0.87,212.48
15.34,10.11,1,15.08,7.89,5.66,0.67,220.8
14.15,23.49,1,16,179.14,3.15,0.51,245.04
23.3,7.71,1,25.3,110.88,3.35,0.68,204.78
33.43,8.08,1,9.53,181.28,2.79,0.54,236.4
21.4,17.45,1,15.77,231.84,4.93,0.68,243.6
39.37,15.78,1,16.43,846.21,3.44,0.81,243.51
15.87,21.62,1,20.52,34.15,3.41,0.66,243.05
13.94,5.26,1,15.91,147.48,3.61,0.27,206.44
21.86,9.95,0,17.33,129.87,3.23,0.69,224.86
13.42,43.24,1,14.36,396.18,1.58,0.7,325.3
26.93,10.2,1,19.43,218.08,6.09,0.25,230.5
15.54,8.99,1,17.11,186.41,10.49,0.58,218.78
20.04,34.13,0,15.77,428.79,2.16,0.58,289.01
16.41,7.62,0,16.83,187.9,2.96,0.66,208.18
28.58,5.46,0,20.31,156.37,0.62,0.37,214.26
11.24,15.37,1,25.75,781.29,3.41,0.62,193.08
8.06,24.68,1,16.95,23.95,5.56,0.32,250.88
14.23,27.64,1,21.75,458.89,4.59,0.22,248.55
12.47,61.8,1,16.65,763.44,5.3,0.35,416.9
9.46,23.81,1,14.11,445.49,5.27,0.1,241.64
13.58,7.98,0,16.71,122.49,6.48,0.63,217.55
51.18,9.1,1,15.82,283,6.46,0.52,258.14
33.35,12.73,1,15.64,202.19,2.53,0.83,239.21
18.39,15.3,1,14.73,71.5,6.01,0.22,240.56
34.77,10.08,1,18.77,117.29,12.23,0.45,250.4
36.4,17.29,0,19.76,58.63,7.24,0.46,263.81
19.52,13.05,1,15.51,269.28,2.3,0.66,219.49
17.22,28.89,1,17.56,649.45,6.51,0.73,261.86
41.73,41.35,1,23.55,649.62,4.65,0.44,331.84
37.47,8.28,1,15.27,117.57,11.71,0.26,253.92
35.19,23.04,0,12.21,529.96,8.28,0.32,286.47
20.07,9.6,1,12.05,100.43,3.26,0.71,229.54
17.15,6.97,0,17.96,199.58,1.6,0.36,205.61
21.16,20.22,0,19.8,128.71,6.15,0.35,250.09
35.85,27.63,1,16.18,608.84,2.29,0.73,276.99
25.24,37.94,1,12.83,730.68,3.33,0.69,305
15.15,46.05,0,17.76,596.53,5.96,0.4,340.72
27.37,7.47,0,14.95,112.27,5.34,0.24,231.92
20.36,8.79,1,20.71,131.26,1.66,0.72,208.64
23.04,12.28,1,22.04,156.03,2.75,0.72,215.83
18.8,33.09,0,19.18,401.91,3.85,0.48,283.87
21.97,7.85,1,26.29,153.08,1.71,0.76,200.83
20.1,13.8,1,16.19,148.38,3.69,0.69,229.67
17.01,5.63,1,18.99,116.5,3.93,0.34,202.17
14.86,16.22,0,21.4,182.11,1.24,0.39,219.61
31.51,25.87,0,15.9,747.08,3.02,0.75,265.92
18.53,14.49,0,16.52,697.34,2.51,0.84,217.45
37.22,6.02,1,21.42,66.56,4.29,0.22,225.61
19.84,11.84,0,12.53,30.89,1.45,0.87,231.62
15.38,54.64,1,17.02,495.68,4.04,0.44,385.11
11.07,13.82,1,22.12,333.69,10.62,0.38,214.37
45.95,7.52,0,9.89,124.44,3.89,0.7,262.35
9.06,26.05,1,26.79,991.35,2.87,0.72,210.78
20.59,7.34,1,19.98,204.91,2.22,0.71,204.28
34.01,25.15,0,18.68,739.3,1.27,0.82,261.25
25.34,22.65,1,17.34,235.25,7.94,0.24,261.68
9.44,23.33,0,15.48,673.76,2.86,0.26,230.89
28.45,27.38,1,19.26,225.52,3.29,0.62,270.72
50.03,5.74,1,17.08,300.6,1.89,0.47,241.79
20.12,34.38,1,15.24,863.29,6.06,0.11,277.97
22.62,16.45,1,18.06,377.36,5.24,0.61,230.68
9.71,21.12,0,23.55,176.1,2.21,0.09,226.04
29.58,92.04,0,18.05,630.7,3.01,0.69,675.92
20.93,10.78,1,9.53,312.35,5.97,0.73,233.38
17.17,16.06,0,18.82,204.95,1.22,0.77,222.61
19.32,40.84,1,20.37,548.22,5.55,0.4,308.55
28.52,44.32,1,19.95,689.28,2.65,0.14,329.54
18.6,23.42,0,18.13,495.61,6.02,0.85,254.44
29.36,5.68,0,24.16,196.6,1.3,0.74,207.2
19.48,18.05,0,18.74,814.7,3.7,0.77,223.45
18.87,14.69,1,15.29,77.16,2.02,0.64,233.62
42.39,19.44,1,17.01,867.15,9.95,0.06,260.35
15.44,6.52,0,23.14,70.37,7.11,0.36,205.43
18.89,22.49,1,21.21,161.4,7.81,0.79,249.4
13.36,33.47,1,20.57,247.36,4.1,0.65,279.71
44.73,23.72,0,23.23,407.99,10.21,0.56,288.29
21.19,7.36,1,14.47,101.4,4.91,0.67,220.65
20.18,10.51,1,17,320.2,4.91,0.74,220.52
13.11,45.28,1,19.44,472.79,2.28,0.64,322.14
9.6,14.85,1,22.76,766.01,6.31,0.3,196.23
15.82,12.52,0,12.04,116.86,5.08,0.8,231.31
22.02,46.64,0,14.21,436.99,3.69,0.53,359
15.47,7.59,1,15.78,133.51,8.69,0.91,218.36
25.74,14.03,1,19.32,288.49,1.73,0.56,225.76
14.68,6.85,0,20.41,180.2,2.62,0.4,199.99
20.12,17.13,0,15.05,109.88,4.12,0.53,243.88
16.29,14.79,1,17.43,177.01,1.78,0.59,219.7
41.51,16.94,0,17.55,284.62,2.21,0.27,257.84
16.84,16.83,0,19.63,93.88,5.09,0.3,235.1
12.79,8.52,0,15.31,310.33,7.69,0.86,217
36.12,17.14,0,13.62,385.9,6.42,0.85,265.02
10.66,30.54,1,10.6,518.79,2.03,0.5,264.57
31.13,17.11,0,21.65,705.43,3.49,0.74,236.17
17.74,25.52,1,19.43,823.03,2.77,0.55,235.88
33.55,15.6,1,19.84,618.25,2.52,0.89,229.84
27.2,15.35,1,22.3,405.3,1.66,0.23,224.56
18.97,22.76,0,16.16,257.87,6.19,0.29,263.27
10.23,73.08,1,16.47,545.96,4.27,0.8,500.67
13.38,35.01,1,12.57,88.14,0.5,0.31,299.91
26.8,22.02,1,12.11,56.39,5.7,0.33,274.6
28.02,12.52,1,18.38,241.72,1.67,0.71,231.78
35.41,13.94,1,20.36,105.01,2.15,0.69,240.43
11.02,54.2,0,15.16,867.7,3.31,0.82,369.38
18.95,4.69,0,19.39,205.57,4.27,0.74,209.89
12.79,50.76,1,20.26,691.28,4.89,0.06,340.89
7.04,46.14,1,16.78,445.97,2.53,0.59,322.32
10.19,85.65,1,14.63,750.93,6.6,0.66,596.75
45.22,8.81,0,24.83,286.41,5.65,0.48,237.88
31.11,22.14,1,21.42,192.71,1.97,0.41,257.68
16.07,15.89,1,13.98,178.92,1.7,0.37,227.65
9.78,19.45,1,21.15,88.41,6.37,0.76,230.06
15.14,23.1,1,16.87,136.77,13.73,0.74,264.6
13.69,17.26,1,16.63,120.68,2.02,0.23,228.65
14.96,28.09,1,18.38,673.4,8.47,0.21,258.6
6.5,12.97,1,9.17,66.22,4.15,0.68,225.5
37.98,18.93,0,21.53,274.4,2.73,0.15,256.88
35.36,5.05,0,18.87,97.53,5.91,0.22,231.07
38.22,46.77,1,14.05,652.85,2.61,0.64,363.82
6.72,30.42,1,13.57,55.44,4.05,0.56,274.76
27.54,37.13,0,17.67,661.05,6.08,0.46,309.86
50.19,10.43,0,13.92,224.26,3.85,0.84,261.71
20.42,7.22,1,16.58,105.05,7.74,0.63,220.62
8.93,16.38,1,15.58,247.58,2.56,0.37,216.99
13.69,18.06,0,22.57,162.4,1.67,0.69,221.92
32.44,65.82,1,21.74,420.6,0.89,0.53,467.91
15.78,28.7,0,17.69,794.32,3.88,0.33,254.77
26.96,5.21,0,22.03,133.41,3.17,0.57,212.58
45,10.09,0,21.73,166.66,4.3,0.81,249.85
15.47,17.34,1,22.14,312.26,7.01,0.12,223.97
12.76,31.95,1,13.47,650.42,3.07,0.52,267.7
16.83,7.82,1,22.13,118.1,3.83,0.37,201.71
17.01,14.05,0,22.73,163.3,4.08,0.41,219.03
20.54,10.45,1,18.37,236.44,2.4,0.18,215.62
27.28,13.89,1,23.95,71.78,3.74,0.09,226.63
7.76,20.96,0,22.39,271.18,2.89,0.64,222.46
9.24,59.62,0,23.24,662.26,2.7,0.93,388
6.69,8.08,1,25.92,153.54,7.67,0.28,189.64
12.77,10.2,1,14.31,205.4,3.38,0.49,212.08
14.9,23.75,1,14.76,534.28,2.13,0.11,241.11
11.26,26.37,1,16.18,93.75,2.42,0.57,258.35
15.61,7.92,1,21.66,189.69,1.79,0.54,201.3
48.81,22.03,1,12.83,439.38,5.36,0.51,288.27
20.36,4.14,1,16.03,117.8,3.46,0.75,209.42
20.84,8.09,0,15.81,192.26,4.69,0.33,221.28
22.1,12.82,0,27,250.47,4.57,0.68,217.96
48.18,24.65,1,17.68,145.18,7.3,0.37,299.97
17.63,5.57,0,13.87,251.35,2.81,0.62,213.38
27.11,19.29,1,17.49,42.06,3.87,0.7,252
21.42,5.65,1,21.15,94.03,1.96,0.57,204.12
43.5,9.35,1,15.34,136.36,7.47,0.94,258.13
36.32,25.52,0,16.85,131.99,3.05,0.45,285.98
14.76,13.41,1,18.64,121.38,8.05,0.29,223.84
33.9,64.23,0,21.03,538.25,3.44,0.82,463.51
22.48,13.86,1,18.7,563.05,4.28,0.39,222
21.85,7.34,1,22.28,161.87,3.06,0.39,207.28
15.54,9.47,1,20.6,93.14,8.82,0.66,214.47
24.4,49.45,1,9.1,528.94,6.22,0.71,381.01
13.15,4.88,0,25,13.41,5.32,0.35,196.92
21.22,45.1,1,20.27,498.74,4.89,0.64,333.88
9.29,19.53,1,18.72,755.67,7.99,0.24,219.88
12.28,16.29,0,13.63,125.55,5.54,0.28,237.97
16.02,15.02,0,18.24,637.72,4.3,0.66,212.94
12.31,43.36,0,23.3,772.42,4.33,0.81,304.97
19.38,20.23,0,24.72,996.73,2.92,0.79,214.1
30.01,52.59,0,18.07,553.2,4.44,0.62,389.14
19.68,23.74,0,17.04,124.88,4.33,0.36,257.98
15.97,36.02,0,19.22,35.91,5.65,0.87,305.69
25.26,8.56,1,20.17,95,1.78,0.95,218.11
18.41,15.08,0,15.05,199.6,1.3,0.76,228.26
14.86,10.92,1,15.7,79.96,3.13,0.56,219.57
29.45,22.52,1,22.12,101.68,8.82,0.46,266.28
17.57,15.45,0,13.36,127.51,4.21,0.28,238.9
12.93,5.46,1,15.09,131.02,10.64,0.43,216.39
7.3,17.01,1,18.26,63.65,9.09,0.09,225
36.72,11.34,1,23.05,191.38,6.15,0.63,236.41
19.11,7.4,0,17.67,292.65,5.36,0.78,215.25
34.51,7.86,1,19.83,376.34,4.93,0.63,226.62
10.2,10.67,0,21.69,111.84,5.36,0.78,205.68
21.67,55.92,0,20.21,283.63,3.16,0.83,405.95
14.22,13.06,0,18.47,244.47,2.99,0.33,215.7
36.64,70.72,0,13.33,420.33,1.34,0.41,524.85
38.92,6.17,0,22.14,184.49,10.65,0.6,244.95
13.62,18,0,21.22,551.75,4.12,0.52,216.57
51.32,14.06,1,22.02,173.04,3.52,0.58,260.99
22.05,11.05,1,26.63,103.66,3.31,0.62,209.89
47.18,38.63,1,20.52,872.16,2.18,0.65,318.01
12.82,12.06,0,22.58,127.07,1.89,0.35,207.54
19.64,10.91,1,15.85,67.27,3.43,0.24,222.87
16.44,6.16,1,17.52,133.89,5.58,0.36,209.13
30.42,22.69,1,13.82,133.35,2.77,0.63,270.35
36.35,12.04,0,16.32,195.73,4.53,0.42,248.66
18.14,17.48,0,14.78,60.21,9.37,0.24,255.34
13.01,21.65,0,21.63,138.12,2.18,0.52,233.41
21.12,10.02,1,19.82,77.89,0.48,0.06,211.79
23.5,6.29,1,17.61,115.62,6.98,0.22,219.64
12.24,7.26,1,12.58,80.22,12.07,0.85,222.03
23.03,80.21,0,17.62,498.34,5.34,0.5,579.64
82.89,11.16,1,23.22,191.42,2.58,0.61,288.03
42.5,5.77,0,14.14,101.13,3.72,0.71,252.22
11.4,45.87,1,16.27,501.55,2.5,0.23,329.54
9.2,6.63,1,11.39,88.83,2.22,0.49,206.4
11.34,4.84,0,13.34,154.07,5.07,0.51,208.47
6.92,58.45,1,15.22,36.3,2.76,0.88,415.31
13.96,7.84,1,11.4,174.63,4.15,0.39,214.85
21.49,20.25,0,15.08,141.94,4.51,0.28,258.7
13.3,11.2,1,19.06,359.24,12.13,0.59,216.1
26.12,10.22,1,14.56,126.78,0.54,0.54,226.39
25.3,12.62,1,19.77,193.61,4.05,0.61,229.43
20.08,22.82,1,11.85,145.27,9.83,0.5,271.56
12.37,14.31,0,13.77,93.3,4.82,0.85,230.78
22.86,6.67,1,11.65,181.96,2.15,0.24,221.88
18.35,10.61,1,13.33,235.23,7.36,0.69,222.04
16.66,17.31,0,22.44,265.31,3.43,0.11,225.71
40.87,61.24,1,15.69,303.76,0.28,0.6,463.28
39.51,12.06,1,18.33,218.83,3.74,0.37,239.47
13.66,17.4,1,18.66,104.82,3.98,0.55,225.53
18.73,6.83,1,16.72,63.81,8.43,0.3,219.45
13.99,10.56,0,20.09,168.27,4.11,0.13,212.35
31.67,15.06,0,11.76,217.4,6.88,0.77,262.36
23.81,19.07,1,14.89,287.5,7.57,0.37,251.2
17.32,13.07,1,20.14,606.84,1.06,0.13,204.09
24.45,10.03,1,21.71,117.24,0.73,0.68,213.2
20.93,21.22,1,18.98,14.62,2.23,0.33,252.62
19.85,4.32,1,18.77,332.38,2.46,0.7,198.09
8.85,4.51,0,13.45,115.5,5.92,0.49,206.99
28.9,3.62,1,11.68,200.03,8.77,0.14,229.84
21.58,16.46,1,19.55,184.88,5.77,0.32,233.02
10.75,28.06,1,18.54,502.76,5.41,0.66,252.63
19.53,9.14,1,8.93,157.7,2.28,0.58,227.34
19.94,66.45,0,24.44,921.94,4.43,0.66,441.35
14.5,16.52,0,20.42,182.7,2.35,0.43,228.19
63.97,11.27,0,14.77,261.76,4.2,0.66,283.35
23.77,18.56,0,15.98,800.18,0.88,0.24,226.36
16.17,100.53,0,23.63,676.89,3.43,0.61,729.29
24.08,6.71,0,28.5,24.61,3.95,0.59,204.87
20.8,8.57,1,19.3,133.56,7.96,0.53,216.94
31.91,20.01,0,15.08,453.71,5.49,0.98,262.58
23.38,22.12,1,26.75,473.7,3.9,0.7,232.34
20.3,14.61,0,17.73,702.82,3.45,0.62,220.89
17.86,9.31,1,22.37,311.94,4.25,0.38,204.9
46.2,43.2,1,11.91,735.18,8.4,0.89,365.28
36.01,16.43,0,17.25,137.32,2.64,0.44,253.15
27.49,17.14,1,17.69,140.59,4.92,0.33,244.77
17.66,5.64,1,19.78,213.8,3.1,0.4,201.09
37.43,26.34,0,13.13,542.99,5.43,0.25,289.57
35.44,31.35,1,20.41,454.53,3.65,0.43,292.83
18.31,15.49,1,15.36,380.12,6.63,0.44,230.01
20.8,5.4,0,18.03,226.4,6.57,0.39,212.59
7.41,89.83,0,20.12,734.37,6.07,0.87,626.92
21.56,27.98,0,16.15,64.08,2.42,0.44,281.05
6.98,15.08,0,25.26,582.7,7.03,0.61,199.8
11.84,3.85,1,13.41,221.57,9.16,0.78,203.95
43.7,20.31,0,13.98,67.3,2.18,0.4,280.1
10.63,4.85,1,19.19,204.39,1.17,0.14,187.34
19.15,15.22,1,25.85,860.47,6.41,0.43,202.01
9.89,6.51,0,22.51,99.25,2.41,0.04,190.82
35.97,47.62,0,14.91,605.58,3.08,0.44,372.24
42.7,17.83,0,19.79,270.11,5.25,0.79,266.26
30.52,76.87,1,23.78,666.17,5.61,0.42,538.63
11.48,12.03,0,20.76,174.53,8.7,0.68,223.73
33.13,21.37,0,17.12,701.39,8.51,0.68,265.27
36.35,41.82,0,25,716.79,2.38,0.7,318.38
7.72,5.99,0,27.07,314.78,3.44,0.53,174.65
43.72,32.58,0,20.91,784.52,2.24,0.72,297.75
8.21,26.85,0,15.32,112.74,2.79,0.19,259.11
23.53,39.97,0,23.37,154.95,0.68,0.64,316.96
14.31,12.89,1,15.65,453.09,2.65,0.38,210.66
23.03,9.37,1,9.91,104.32,4.04,0.55,234.17
36.39,20.26,0,21.12,192.38,4.38,0.96,264.99
23.4,20.97,1,15.1,206.22,0.98,0.54,247.51
28.4,15.92,1,16,42.96,1.7,0.55,245.55
25.39,11.87,1,16.37,249.96,6.41,0.5,231.68
25.37,7.81,1,13.71,167.77,9.96,0.65,233.85
7.16,76.07,1,18.61,322.26,6.84,0.34,530.09
17.67,10.27,1,20.43,298.37,14.1,0.43,222.85
18.83,17.28,1,16.15,169.35,1.52,0.57,234.4
14.6,11.74,0,24.55,69.35,4.8,0.28,214.63
32.95,64.11,1,17.77,440.71,2.19,0.46,463.09
38.78,28.77,1,17,784.4,4.22,0.21,280.68
62.68,26.92,1,15.97,298.19,2.22,0.5,315.06
30.54,29.05,0,24.69,965.45,8.66,0.65,267.51
23.01,4.66,1,21.41,142.84,1.42,0.73,204.56
26.42,8.46,0,14.37,112.18,4.33,0.64,231.54
30.24,4.54,0,20.06,123.52,11.22,0.67,234.48
26.47,11.32,1,22.51,213.81,8.99,0.41,226.72
12.88,16.73,0,15.75,367.02,3.24,0.58,223.57
25.16,56.36,1,21.62,400.73,2.19,0.65,401.67
60.21,50.89,0,17.1,618.25,6.92,0.59,424.84
16.07,7.78,1,24.22,47.45,7.58,0.41,203.99
19.57,10.69,0,18.3,239.91,4.63,0.67,220.71
20,20.65,0,22.28,592.22,9.81,0.76,243.77
23.27,78.05,0,19.7,849.1,10.11,0.92,550.96
14.49,7.34,0,23.95,173.84,1.75,0.55,191.51
10.91,10.99,0,13.67,100.53,5.06,0.37,220.38
25.23,27.43,0,18.59,430.02,4.27,0.93,271.83
34.64,13.7,1,11.24,357.12,3.12,0.44,250.79
16.94,7.82,1,23.68,54.71,4.51,0.59,205.54
25.73,8.2,0,16.92,38.38,2.98,0.52,225.19
11.49,85.74,0,6.41,170.65,3.21,0.31,640.43
51.02,12.88,0,9.05,34.66,5.44,0.71,283.11
12.54,4.14,0,21.5,75.53,2.98,0.69,195.58
9.36,12.81,0,18.67,271.14,6.44,0.41,217.55
12.34,7.72,1,25.3,85.85,4.79,0.23,191.5
36.13,21.07,1,25.55,583.69,4.26,0.39,242.32
